x,y,z,yaw,velocity,change_flag
1.3567,0.9205,-0.4641,0.2653,0,0
2.0442,1.1015,-0.3068,0.3195,1,0
2.8069,1.3826,-0.2892,0.3189,2,0
3.4674,1.6496,-0.265,0.3119,3,0
4.1604,1.8957,-0.0994,0.3132,4,0
4.8759,2.132,-0.0847,0.2586,5,0
5.5953,2.3026,-0.0307,0.264,6,0
6.2956,2.5016,0.0756,0.3218,7,0
7.0119,2.8055,0.1537,0.3688,8,0
7.7017,3.1867,0.1976,0.3959,9,0
8.4273,3.4919,0.3544,0.3791,10,0
9.1773,3.7665,0.3555,0.3428,11,0
9.8418,4.0121,0.4711,0.2824,12,0
10.5482,4.2825,0.4859,0.3559,13,0
11.1881,4.7824,0.5657,0.5225,14,0
11.8759,5.0646,0.6168,0.5355,15,0
12.8613,5.6871,0.748,0.3969,16,0
13.5318,5.9515,0.7776,0,17,0
14.2483,6.4,0.8624,0,18,0
15.0668,6.4,0.9286,0,19,0
16.2381,6.5492,1.0587,-0.2769,20,0
17.4991,6.9937,1.1627,-0.496,21,0
17.8834,6.391,1.1519,-1.1757,22,0
18.1333,5.7054,1.1694,-1.3728,23,0
18.2902,4.9872,1.1737,-1.3894,24,0
18.5157,4.2554,1.1763,-1.2248,25,0
18.8082,3.5945,1.1832,-1.2299,26,0
19.0829,2.9143,1.2025,-1.2339,27,0
19.3362,2.2404,1.226,-1.297,28,0
19.5382,1.5131,1.2343,-1.3172,29,0
19.7631,0.8426,1.2474,0,30,0
20.0398,0.1699,1.2593,0,31,0
20.2802,-0.5298,1.263,0,32,0
20.535,-1.1859,1.2974,-1.1502,33,0
20.8086,-1.8348,1.3144,-1.1326,34,0
21.4,-2.4,1.3144,-1.14,35,0
22,-3,1.3144,-2.3,36,0
20.8,-3.1,1.3,-2.5,37,0
19.6172,-3.1065,1.1219,-2.762,38,0
19.3253,-3.1153,1.1148,-2.8,39,0
18.9358,-3.4615,1.0143,-2.3,40,0
18.2218,-3.6386,0.9462,-1,41,0
17.5396,-3.8639,0.8434,-1.5,42,0
16.8502,-4.0848,0.7759,-2,43,0
16.1206,-4.3714,0.6873,-2.5,44,0
15.4243,-4.7334,0.6666,-2.7038,45,0
14.7187,-5.0089,0.5364,-2.7743,46,0
14.0254,-5.2625,0.5192,-2.8764,47,0
13.1916,-5.5721,0.4064,-2.802,48,0
12.4865,-5.8506,0.3229,-2.7947,49,0
11.838,-6.2104,0.2814,-2.7252,50,0
